iter	RMSE
154	0.2451018147
155	0.2448250861
156	0.2446241716
157	0.2444835328
158	0.2443090384
159	0.2442081892
160	0.243943131
161	0.2437380609
162	0.2434159161
163	0.2434100861
164	0.2432572229
165	0.2430425119
166	0.2428924183
167	0.2428247143
168	0.2427321944
169	0.2423334111
170	0.2419131911
171	0.2418187808
172	0.2415952982
173	0.2414495056
174	0.2411510553
175	0.2409733161
176	0.24043429
177	0.2402646966
178	0.240077334
179	0.2396206355
180	0.2393247411
181	0.2391771892
182	0.239127428
183	0.2389671046
184	0.2387966031
185	0.2386401008
186	0.2382776258
187	0.2380472208
188	0.2377035782
189	0.2373739137
190	0.2372060288
191	0.2370865928
192	0.2369707379
193	0.2369263663
194	0.236881733
195	0.2367049305
196	0.2365989716
197	0.2364993117
198	0.2364490726
199	0.2362676087
200	0.236184142
201	0.2359716279
202	0.2358636197
203	0.2358137156
204	0.2356853839
205	0.2355739984
206	0.2354548662
207	0.2350250435
208	0.2349547121
209	0.2348243523
210	0.2348158881
211	0.2346567789
212	0.2344079765
213	0.2341577782
214	0.2341395306
215	0.2338332679
216	0.2337549318
217	0.233507621
218	0.2333279511
219	0.2331966895
220	0.2331712862
221	0.2330635277
222	0.2330410165
223	0.2330098057
224	0.2327213982
225	0.23270135
226	0.2325663944
227	0.2324562793
228	0.2323678191
229	0.2323563848
230	0.2321108044
231	0.2319967922
232	0.2318205829
233	0.2317296684
234	0.2316003447
235	0.2313773378
236	0.2311621716
237	0.2311086136
238	0.2310760802
239	0.2309348207
240	0.2309268066
241	0.2307837436
242	0.2306600839
243	0.2305973735
244	0.2303679817
245	0.2303588536
246	0.2301525579
247	0.2301475273
248	0.2301316932
249	0.2300285848
250	0.2297986305
251	0.2297451597
252	0.2296371212
253	0.22950401
254	0.2293403518
255	0.2293259269
256	0.2290233852
257	0.2287767956
258	0.2286704091
259	0.2286646122
260	0.2286599797
261	0.228472861
262	0.2282697695
263	0.2281653927
264	0.2280503418
265	0.2279787223
266	0.2278718576
267	0.2277617392
268	0.2275403314
269	0.2274883304
270	0.227419987
271	0.2272073969
272	0.2270676389
273	0.2270131322
274	0.2267883724
275	0.2265521283
276	0.2265060017
277	0.2265018116
278	0.2264516803
279	0.226440311
280	0.2263468843
281	0.2262401772
282	0.2260784737
283	0.2260744242
284	0.2260681015
285	0.2260567064
286	0.2260507242
287	0.2259723202
288	0.2259205421
289	0.2258125527
290	0.2254923012
291	0.2253822729
292	0.2253125484
293	0.2252097892
294	0.2251598887
295	0.2249397565
296	0.2247995335
297	0.2244698995
298	0.2243650742
299	0.2242512317
300	0.2241060601
301	0.2240748374
302	0.2240002394
303	0.2238889994
304	0.2238824229
305	0.2238383682
306	0.2238008339
307	0.2237982242
308	0.2237971221
309	0.223771015
310	0.2236248897
311	0.2234101996
312	0.2233196646
313	0.2232106203
314	0.2231701982
315	0.2229902039
316	0.2229174623
317	0.2228751717
318	0.2227645014
319	0.2227355603
320	0.2226197057
321	0.2225770281
322	0.2225252263
323	0.2222157857
324	0.2220970255
325	0.2219222957
326	0.2217874279
327	0.2216004679
328	0.2215290877
329	0.2214465238
330	0.2213245768
331	0.2212487222
332	0.2211048042
333	0.2210229168
334	0.220950738
335	0.2208642689
336	0.2208280273
337	0.2207991959
338	0.2206536943
339	0.220634912
340	0.220624382
341	0.2205407442
342	0.2204621768
343	0.2203414704
344	0.2202589728
345	0.2202422413
346	0.2201921691
347	0.2201651859
348	0.2200652433
349	0.2199405616
350	0.2198291087
351	0.2198035523
352	0.2197499915
353	0.2196421506
354	0.2194728317
355	0.219441951
356	0.2194082854
357	0.2193870005
358	0.2193147402
359	0.2190775122
360	0.2188910388
361	0.2188283925
362	0.2187771037
363	0.2187340322
364	0.2185854618
365	0.2185196609
366	0.218463078
367	0.2184008942
368	0.2183433838
369	0.2181711855
370	0.2178818148
371	0.2178107825
372	0.217724231
373	0.2175644055
374	0.2174887426
375	0.2173472602
376	0.2173438261
377	0.2172476329
378	0.2171901184
379	0.2171815516
380	0.2171421986
381	0.2170399923
382	0.2170023978
383	0.2169754963
384	0.2168413048
385	0.2167838461
386	0.2165817667
387	0.2164340654
388	0.2163254904
389	0.2160231593
390	0.2157939753
391	0.2156203195
392	0.2154895301
393	0.2153719219
394	0.2152415442
395	0.2152089578
396	0.215191665
397	0.215163697
398	0.2150374172
399	0.2149269318
400	0.2148736826
401	0.2148249723
402	0.2148139963
403	0.21473001
404	0.2145416835
405	0.2144453128
406	0.214315566
407	0.2142280425
408	0.2141763307
409	0.2141037678
410	0.2140608136
411	0.2139799042
412	0.2139064438
413	0.2138961581
414	0.2138612349
415	0.2136853026
416	0.2135680021
417	0.2134650727
418	0.2134235211
419	0.2133067899
420	0.2132687309
421	0.213171596
422	0.2130907096
423	0.2130588516
424	0.2130087454
425	0.2129792511
426	0.2129349841
427	0.2128553522
428	0.2128381655
429	0.2126804664
430	0.2126482945
431	0.2125936005
432	0.2125434344
433	0.2123157009
434	0.2121590781
435	0.2120756692
436	0.2120463465
437	0.2120461673
438	0.2119296574
439	0.2119099704
440	0.2117472222
441	0.211699208
442	0.2116110789
443	0.2115948598
444	0.2114739167
445	0.2113522932
446	0.2113312203
447	0.211246592
448	0.2111560823
449	0.2109791817
450	0.210952311
451	0.210888604
452	0.2108424843
453	0.2106893301
454	0.2106706922
455	0.2105598635
456	0.2105180064
457	0.2104470109
458	0.2102499521
459	0.2101755098
460	0.2100385622
461	0.2099873215
462	0.20995647
463	0.2099251238
464	0.2098373154
465	0.2096469619
466	0.2095365681
467	0.209433623
468	0.20937656
469	0.2093116479
470	0.2092131972
471	0.2091626645
472	0.2089704435
473	0.2088721334
474	0.2087788209
475	0.2087231666
476	0.2087057867
477	0.2086764688
478	0.2086076532
479	0.2084914072
480	0.2084222335
481	0.2083455164
482	0.2082164449
483	0.2081359637
484	0.2081133715
485	0.2080957142
486	0.2079693011
487	0.207884443
488	0.207819286
489	0.2077603948
490	0.2076997485
491	0.2076771802
492	0.2076133589
493	0.2076062925
494	0.2075447636
495	0.2074594117
496	0.207349835
497	0.2073197612
498	0.2072497045
499	0.2070757913
500	0.2070408095
501	0.2069607819
502	0.2069399239
503	0.2068029461
504	0.2067564897
505	0.2066799851
506	0.2066119097
507	0.2065330533
508	0.2064840201
509	0.2064224098
510	0.2064088138
511	0.2063805792
512	0.2062646569
513	0.2062394706
514	0.2061240136
515	0.2061155335
516	0.2060648727
517	0.2060238464
518	0.205936838
519	0.2059063597
520	0.2058108386
521	0.2056772483
522	0.2056226396
523	0.2055984765
524	0.2055748999
525	0.2055567937
526	0.2054905309
527	0.2054090458
528	0.2053413542
529	0.2052825569
530	0.2052336153
531	0.2051939669
532	0.205070768
533	0.2050145275
534	0.2049353571
535	0.2048317616
536	0.2048046733
537	0.204770579
538	0.2046328124
539	0.2046072024
540	0.2045497847
541	0.2044778256
542	0.2044608003
543	0.2044071464
544	0.2043555828
545	0.2042130423
546	0.204137793
547	0.2040733058
548	0.2040493137
549	0.2039978096
550	0.2039843078
551	0.2039220438
552	0.2038782335
553	0.2037386391
554	0.2036973272
555	0.2036637353
556	0.2036412727
557	0.2035801361
558	0.2033768553
559	0.2033311079
560	0.2032710493
561	0.2032441791
562	0.2032087815
563	0.2031344691
564	0.2030177494
565	0.2029860594
566	0.2029504823
567	0.2028318621
568	0.20274523
569	0.2026720513
570	0.2025242237
571	0.2024567033
572	0.2024461021
573	0.2023782916
574	0.2023295635
575	0.2022837765
576	0.2022431155
577	0.2021626088
578	0.2021495253
579	0.2020084098
580	0.2019862525
581	0.2019462267
582	0.2019029251
583	0.2018981465
584	0.2018821477
585	0.2018529779
586	0.2018054367
587	0.2017319175
588	0.201660676
589	0.2015898186
590	0.2015640282
591	0.2015020834
592	0.2013816846
593	0.2013462079
594	0.2012954037
595	0.2012163665
596	0.2011968938
597	0.201154924
598	0.2011288571
599	0.2010109722
600	0.200976978
601	0.200912518
602	0.2008879209
603	0.2008043718
604	0.2007088343
605	0.2005981197
606	0.2004839478
607	0.200440847
608	0.2004078454
609	0.2003176896
610	0.2002624345
611	0.2001696474
612	0.2000969788
613	0.2000518459
614	0.1999402467
615	0.1997890916
616	0.1997526718
617	0.1996961772
618	0.1996282139
619	0.1996225533
620	0.1995457214
621	0.1995145395
622	0.1994140803
623	0.1993506195
624	0.1993323804
625	0.1993123845
626	0.1992410572
627	0.1992002365
628	0.1991525396
629	0.1990728507
630	0.1990219627
631	0.1989052536
632	0.1988836245
633	0.1988029694
634	0.1987235665
635	0.1986733001
636	0.198614031
637	0.1985642725
638	0.1985279836
639	0.1985009346
640	0.1984896691
641	0.1984601
642	0.1983190028
643	0.1982793292
644	0.1981988408
645	0.1981847765
646	0.1981247536
647	0.1980587451
648	0.197965028
649	0.1978214949
650	0.1977093369
651	0.1976566422
652	0.1976143119
653	0.1975317587
654	0.197518988
655	0.1973894957
656	0.1973145318
657	0.1972052409
658	0.1970925504
659	0.1970480236
660	0.1970244699
661	0.1969487437
662	0.1968942006
663	0.1968552539
664	0.1967969116
665	0.1967019684
666	0.1966552908
667	0.1966479596
668	0.1966271352
669	0.1966216216
670	0.1966155419
671	0.1965192367
672	0.1965100322
673	0.1964237963
674	0.1963687512
675	0.1963255943
676	0.1962705559
677	0.1962371592
678	0.1961828972
679	0.1961616016
680	0.1961340282
681	0.1961231629
682	0.1961001032
683	0.1960461248
684	0.1959735597
685	0.1959450373
686	0.1958469358
687	0.1958319155
688	0.1957648739
689	0.1957293326
690	0.1956840116
691	0.1956595884
692	0.1955698992
693	0.1955348917
694	0.1954910173
695	0.1954780013
696	0.1954469705
697	0.1954110995
698	0.195350616
699	0.1953401288
700	0.1953044692
701	0.1952744971
702	0.1952508025
703	0.1952068399
704	0.1951420044
705	0.1949938095
706	0.1949884396
707	0.1949662755
708	0.1949146837
709	0.194880604
710	0.1948537683
711	0.1948264174
712	0.1947771803
713	0.194689919
714	0.1946028942
715	0.1945919139
716	0.1944800737
717	0.1944178687
718	0.1943023374
719	0.1942407242
720	0.1941884277
721	0.1941748921
722	0.1941340236
723	0.1940954687
724	0.1940467099
725	0.1940021156
726	0.1939638514
727	0.1939321233
728	0.1939056399
729	0.1938455026
730	0.1937927476
731	0.1937494959
732	0.1936946869
733	0.1936770508
734	0.193635431
735	0.1936152974
736	0.1935279348
737	0.1935164796
738	0.1934975917
739	0.1933229687
740	0.1932473202
741	0.193155146
742	0.1931154638
743	0.1930617475
744	0.1930134995
745	0.19296285
746	0.1929126823
747	0.1928771922
748	0.1928244958
749	0.1927916878
750	0.1926942975
751	0.192653559
752	0.1925681854
753	0.1925621914
754	0.1925438986
755	0.1925389219
756	0.192465814
757	0.1923702071
758	0.1922649039
759	0.1922164966
760	0.1921748817
761	0.1921262325
762	0.1919945345
763	0.1919630721
764	0.191937144
765	0.1918759356
766	0.191816063
767	0.1917867781
768	0.191748924
769	0.191688746
770	0.1916452157
771	0.1915945939
772	0.191489276
773	0.1914436277
774	0.1913362079
775	0.191306399
776	0.1912658262
777	0.1911883939
778	0.1911506018
779	0.1911167532
780	0.1910858296
781	0.1910505065
782	0.1909845689
783	0.1909389544
784	0.1909013574
785	0.1908015806
786	0.1907420569
787	0.1907002551
788	0.1906707068
789	0.190599242
790	0.1905923932
791	0.1905427784
792	0.1905262993
793	0.190501286
794	0.1904416993
795	0.1904115382
796	0.1903985809
797	0.1903543156
798	0.1903039818
799	0.19016996
800	0.1900721972
801	0.1900033594
802	0.1899712204
803	0.1899185375
804	0.1898563432
805	0.1898155735
806	0.1897339206
807	0.1897066928
808	0.189667612
809	0.1896281077
810	0.1895891695
811	0.1894974502
812	0.1894784222
813	0.1894191789
814	0.1893793264
815	0.1891854949
816	0.1891545385
817	0.1891201012
818	0.1890540108
819	0.1890063467
820	0.1888977136
821	0.1888667083
822	0.1888143742
823	0.1887393343
824	0.1887256071
825	0.1887034501
826	0.1886643483
827	0.1886269174
828	0.1885943965
829	0.1885714987
830	0.1884679766
831	0.1884604601
832	0.1884115792
833	0.1884087777
834	0.1883740915
835	0.1883128666
836	0.1882816644
837	0.1882369179
838	0.1882091269
839	0.1881559889
840	0.1881232282
841	0.1880486378
842	0.1880351355
843	0.1879630377
844	0.1879547588
845	0.1879256627
846	0.1878489326
847	0.1878389802
848	0.1877627135
849	0.1877379981
850	0.1876823472
851	0.1876419633
852	0.1876012084
853	0.1875601996
854	0.1875317578
855	0.1875065541
856	0.1874494555
857	0.1873715381
858	0.1873313335
859	0.1873103395
860	0.1873056405
861	0.1872038828
862	0.1871848255
863	0.1871633772
864	0.1871195282
865	0.1870032894
866	0.1869984688
867	0.1869831283
868	0.1869212573
869	0.1868838661
870	0.1868044749
871	0.1867232355
872	0.18670008
873	0.1866435799
874	0.1866269153
875	0.1866046577
876	0.1865679572
877	0.186550763
878	0.1865465729
879	0.1864499648
880	0.1864278595
881	0.1863750822
882	0.1863500849
883	0.1862969053
884	0.1861602178
885	0.1861220164
886	0.1860661177
887	0.1860434895
888	0.1860147029
889	0.1859786668
890	0.1859582242
891	0.1858625101
892	0.1857771464
893	0.1856792632
894	0.185629093
895	0.1856085825
896	0.185601071
897	0.1855873772
898	0.1855393691
899	0.1855213331
900	0.1854995545
901	0.1854436163
902	0.1854013717
903	0.1853870104
904	0.1853222085
905	0.1852830243
906	0.1852405815
907	0.1852121754
908	0.1851315391
909	0.1850934159
910	0.1850613231
911	0.1850523755
912	0.1850367644
913	0.1849831488
914	0.1849071946
915	0.184869614
916	0.1848107494
917	0.1847663071
918	0.1847082751
919	0.1846929841
920	0.1846793254
921	0.184638548
922	0.184604764
923	0.1845882867
924	0.1845471435
925	0.1843761445
926	0.1843602612
927	0.1843401463
928	0.1842716744
929	0.184264785
930	0.1842278035
931	0.1841907671
932	0.1841519489
933	0.1840712065
934	0.1839973959
935	0.1839608985
936	0.1839393572
937	0.1838934394
938	0.1838583968
939	0.1838255128
940	0.1837499568
941	0.1836656689
942	0.1836182931
943	0.1835541484
944	0.1835523955
945	0.1834660326
946	0.1833802469
947	0.18335432
948	0.1833201993
949	0.1832100275
950	0.1831873555
951	0.1830996308
952	0.1830717839
953	0.1830555043
954	0.1829616785
955	0.1829510429
956	0.182920846
957	0.1828713444
958	0.1827907685
959	0.182714754
960	0.1826586922
961	0.1825642671
962	0.1825049905
963	0.1824844814
964	0.1823992946
965	0.1823910837
966	0.182371037
967	0.1823257252
968	0.1822495947
969	0.1822364898
970	0.1820988803
971	0.1820807747
972	0.1820659654
973	0.182022893
974	0.1819465544
975	0.1819372867
976	0.1819116237
977	0.1818909964
978	0.1818582969
979	0.1818124554
980	0.1817947801
981	0.1816983698
982	0.1816398805
983	0.1815859133
984	0.1815673086
985	0.1815115768
986	0.1814658552
987	0.1813912227
988	0.1813704251
989	0.1813535854
990	0.18129651
991	0.1811973649
992	0.1811412018
993	0.1810958403
994	0.1810648286
995	0.1810102738
996	0.1809174245
997	0.1808786786
998	0.180826642
999	0.18078502
